zona,quartos,area,preco
oeste,8,250,8.000
oeste,4,400,25.000
oeste,,200,5.000
oeste,1,106,11.000
oeste,1,36,1.275
oeste,3,500,2.500
oeste,4,300,6.000
oeste,3,10,2.300
oeste,3,120,620.000
oeste,,186,11.000
oeste,3,110,6.400
oeste,1,30,730
oeste,3,400,18.000
oeste,4,100,3.850
oeste,1,30,700
oeste,2,80,2.000
oeste,3,220,3.200
oeste,1,40,1.440
oeste,4,213,10.000
oeste,1,35,1.400
oeste,5,340,8.000
oeste,4,200,12.500
oeste,2,250,4.500
oeste,4,260,4.400
oeste,1,21,1.000
oeste,2,300,1.300
oeste,,100,2.500
oeste,1,30,950
oeste,6,360,13.200
oeste,3,130,2.300
oeste,2,250,11.001
